2026-04-23 03:59:25.695; System; Armoury Crate; 41660; 2] ----------------------------------------------------------------------------------------------------
2026-04-23 03:59:25.695; System; Armoury Crate; 41660; 2] [4/23/2026 3:59:25 AM]
2026-04-23 03:59:25.695; System; Armoury Crate; 41660; 2] Armoury Crate Version : 6.4.12.0
2026-04-23 03:59:25.695; System; Armoury Crate; 41660; 2] OS Version Build : 26200
2026-04-23 03:59:25.695; System; Armoury Crate; 41660; 2] ----------------------------------------------------------------------------------------------------
2026-04-23 03:59:26.575; Error; UwpDebugOptions; 41660; 1] (878)Failed to read ExceptionList.txt: Could not load file or assembly 'C:\Users\vrudi\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\LocalState\ExceptionList.txt'. The system cannot find the file specified.
2026-04-23 03:59:26.594; Info; UwpAppConfiguration; 41660; 1] (897)DebugProductLineEnabled: False, DebugProductLine: Unknown, DebugBrandLineEnabled: False, DebugBrandLine: Unknown, DebugFeatureSetEnabled: False, DebugFeatureSet: Any, DebugLogEnabled: False, DebugLogLevel: Info, IgnoreOnePackageFlow: False, IgnoredPlugins: 
2026-04-23 03:59:26.629; Info; DeviceInformationService; 41660; 1] (932)FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE
2026-04-23 03:59:26.651; Info; CoreServiceManager; 41660; 1] (954)Start FeatureSet : Core, Playground, Assistants, Contents 、 ProductLine : NB 、 BrandLine : ROG 、 TUFStyle : Default 、 ModelName : G713QE 、 MarketingName : ROG Strix G713QE_G713QE 、 SystemSerialNumber : M5NRKD028966197 、 BaseBoardSerialNumber : 5T15MC00G1 、 SystemManufacturer : ASUSTeK COMPUTER INC. 、 BaseBoardManufacturer : ASUSTeK COMPUTER INC. 、 SystemDeviceUUID : d08228c3-b9b6-4ac8-be60-d883d3dd126d 、 SystemFamilyName : ROG Strix 、 SystemPartNumber : 90NR05F2-M01710 、 BIOSYear : 0 、 BIOSYearType : 0 、 PartnerBrand : None 、 HostDisplayName : G713QE spend 16 ms
2026-04-23 03:59:26.782; Info; ConnectionHandler(Service); 41660; 2] (1085)Final version: 1.1
2026-04-23 03:59:27.141; Info; ConnectionHandler(Service); 41660; 2] (1445)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-23 03:59:27.141; Info; ConnectionHandler(Service); 41660; 2] (1445)connected for peer: Service
2026-04-23 03:59:27.146; Info; ConnectionHandler(UserSession); 41660; 8] (1449)Final version: 1.1
2026-04-23 03:59:27.195; Info; AsusDeviceManager; 41660; 7] (1499)MessageType:Device,DeviceType:Notebook,DeviceName:G713QE,DeviceId:, Attributes: (CheckBoxEnable:1)  (DependentAppStatus:0)  (DeviceCount:1)  (DeviceGUID:3F49AD29-52D9-46A5-A608-203D54E7D12A)  (DeviceIndex:0)  (DisplayName:G713QE)  (FirstPluginNeedUpdate:0)  (InfoIconEnable:0)  (LightingMode:SUPPORTAURA)  (LinkToDeviceEnable:0)  (LocalFrameworkVersion:4.2.4.8)  (LocalHtmlVersion:0)  (LocalMainSDKVersion:2.01.52)  (LocalSDKVersion:0)  (NeedRestart:false)  (PIDMode:0)  (PartNumber_90:90NR05F2-M01710)  (ProductLine:ROG_Laptop)  (ServerFrameworkVersion:4.2.4.13)  (ServerHtmlVersion:0)  (ServerMainSDKVersion:2.01.56)  (ServerSDKVersion:0)  (SupportCreator:true) 
2026-04-23 03:59:27.209; Info; ConnectionHandler(UserSession); 41660; 8] (1512)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-23 03:59:27.209; Info; CoreServiceManager; 41660; 1] (1513)Start ArmouryCrate.Console.Uwp.Core.Services.CoreStreamService spend 558 ms
2026-04-23 03:59:27.209; Info; ConnectionHandler(UserSession); 41660; 8] (1513)connected for peer: UserSession
2026-04-23 03:59:27.218; Info; CoreServiceManager; 41660; 1] (1521)Start ArmouryCrate.Console.Uwp.Core.Services.SettingsService spend 8 ms
2026-04-23 03:59:27.218; Info; CoreServiceManager; 41660; 1] (1521)Start ArmouryCrate.Console.Uwp.Core.Services.VisualService spend 0 ms
2026-04-23 03:59:27.218; Info; CoreServiceManager; 41660; 1] (1521)Start ArmouryCrate.Console.Uwp.Core.Services.ROGIDService spend 0 ms
2026-04-23 03:59:27.218; Info; CoreServiceManager; 41660; 1] (1521)Start ArmouryCrate.Console.Uwp.Core.Services.DataCollectionService spend 1 ms
2026-04-23 03:59:27.218; Info; CoreServiceManager; 41660; 1] (1521)Start ArmouryCrate.Console.Uwp.Core.Services.PromotionService spend 0 ms
2026-04-23 03:59:27.248; Info; CoreServiceManager; 41660; 1] (1551)Start ArmouryCrate.Console.Uwp.Core.Services.PrivacyPolicyService spend 29 ms
2026-04-23 03:59:27.252; Info; BackgroundTaskService; 41660; 1] (1555)Skipping StartAsync because it's running in a background context.
2026-04-23 03:59:27.252; Info; CoreServiceManager; 41660; 1] (1556)Start ArmouryCrate.Console.Uwp.Core.Services.BackgroundTaskService spend 5 ms
2026-04-23 03:59:27.253; Info; CoreServiceManager; 41660; 1] (1556)Get theme from previous recrod => ROG
2026-04-23 03:59:27.253; Info; CoreServiceManager; 41660; 1] (1556)GetTheme... ROG
2026-04-23 03:59:27.253; Info; App; 41660; 1] (1556)DeveloperMode:NotSet
2026-04-23 03:59:27.259; Info; App; 41660; 1] (1562)IsAdmin:True
2026-04-23 03:59:27.670; Info; Redemption; 41660; 1] (1975)[AppService.DoPromotion(30)] Begin
2026-04-23 03:59:27.673; Info; Redemption; 41660; 1] (1976)[AppService.InitPromotion(215)] ProductLine Value=NB, Status=True
2026-04-23 03:59:27.673; Info; Redemption; 41660; 1] (1976)[AppService.InitPromotion(227)] Subbrand Value=ROG, Status=True
2026-04-23 03:59:27.673; Info; Redemption; 41660; 1] (1976)[AppService.InitPromotion(242)] SystemManufacturer=ASUSTeK COMPUTER INC., Status=False
2026-04-23 03:59:27.673; Info; Redemption; 41660; 1] (1977)[AppService.InitPromotion(259)] isAcceptablePL=True, isAcceptableSB=True, isAcceptableGamingDT=False, PrivacyPolicy=True, isGamingProduct=True, DeveloperModeEnabled=False
2026-04-23 03:59:27.673; Info; Redemption; 41660; 1] (1977)[AppService.InitPromotion(278)] RedeemEntry: PN=Routine, SN=M5NRKD028966197, API=AdobeEvent, Source=Background
2026-04-23 04:31:23.258; Info; ConnectionHandler(Service); 41660; 4] (1917562)send keep alive packet, SN: 0
2026-04-23 04:39:03.336; Info; ConnectionHandler(UserSession); 41660; 9] (2377640)send keep alive packet, SN: 0
2026-04-23 05:59:05.502; Info; ConnectionHandler(UserSession); 41660; 9] (7179805)send keep alive packet, SN: 1
2026-04-23 05:59:05.502; Info; ConnectionHandler(Service); 41660; 4] (7179805)send keep alive packet, SN: 1
2026-04-23 05:59:09.811; Info; ConnectionHandler(UserSession); 41660; 8] (7184115)disconnected for peer: UserSession
2026-04-23 05:59:09.811; Info; ConnectionHandler(Service); 41660; 2] (7184115)disconnected for peer: Service
2026-04-23 05:59:09.811; Warning; ConnectionHandler(UserSession); 41660; 7] (7184115)failed to complete command for closed connection
2026-04-23 05:59:09.843; Error; Redemption; 41660; 7] (7184153)[DeviceQueryHandler.GetDeviceSN_List(56)] Service Connection Failed: E_ABOUT
2026-04-23 05:59:09.850; Error; Redemption; 41660; 7] (7184155)[AppService.InitPromotion(283)] Device List can't be access. End Process.
2026-04-23 07:58:49.467; System; Armoury Crate; 41660; 6] Delete ArmouryCrate_20260412.BackgroundTask.log
2026-04-23 08:32:01.379; Info; Redemption; 41660; 14] (16355682)[AppService.DoPromotion(30)] Begin
2026-04-23 08:32:01.379; Info; Redemption; 41660; 14] (16355682)[AppService.InitPromotion(215)] ProductLine Value=NB, Status=True
2026-04-23 08:32:01.379; Info; Redemption; 41660; 14] (16355682)[AppService.InitPromotion(227)] Subbrand Value=ROG, Status=True
2026-04-23 08:32:01.379; Info; Redemption; 41660; 14] (16355682)[AppService.InitPromotion(242)] SystemManufacturer=ASUSTeK COMPUTER INC., Status=False
2026-04-23 08:32:01.379; Info; Redemption; 41660; 14] (16355682)[AppService.InitPromotion(259)] isAcceptablePL=True, isAcceptableSB=True, isAcceptableGamingDT=False, PrivacyPolicy=True, isGamingProduct=True, DeveloperModeEnabled=False
2026-04-23 08:32:01.379; Info; Redemption; 41660; 14] (16355683)[AppService.InitPromotion(278)] RedeemEntry: PN=Routine, SN=M5NRKD028966197, API=AdobeEvent, Source=Background
2026-04-23 08:32:01.387; Info; ConnectionHandler(UserSession); 41660; 6] (16355690)Final version: 1.1
2026-04-23 08:32:01.391; Info; ConnectionHandler(UserSession); 41660; 6] (16355706)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-23 08:32:01.391; Info; ConnectionHandler(UserSession); 41660; 6] (16355707)connected for peer: UserSession
2026-04-23 08:32:01.415; Info; ConnectionHandler(Service); 41660; 9] (16355718)Final version: 1.1
2026-04-23 08:32:01.423; Info; ConnectionHandler(Service); 41660; 9] (16355731)Own Keep Alive segment: { 20000, 3 }, Other Keep Alive segment: { 20000, 3 }
2026-04-23 08:32:01.423; Info; ConnectionHandler(Service); 41660; 9] (16355731)connected for peer: Service
2026-04-23 08:32:01.454; Info; ROGID; 41660; 14] (16355757)[ROGID.ROGIDService.SSO]SSO Module Init Status : True
2026-04-23 08:32:01.759; Critical; Redemption; 41660; 4] (16356062)[CountryCode.GetCountryCode(86)] GetCountryCode: NL
2026-04-23 08:32:01.759; Info; Redemption; 41660; 4] (16356062)[PromotionTask.PollingTimerUpdate(629)] PollingTimerUpdate: PollingTimer=604800000, Weeks=9, RequestCounter=4, Trigger=Background
2026-04-23 08:32:01.759; Info; Redemption; 41660; 4] (16356062)[PromotionTask.DoPromotionAppServiceTask(347)] DoPromotionAppServiceTask - TimeChecker(Before) (LastServerPolling, ErrorRetryTimeOut, Now)=(4/22/2026 4:16:23 PM, 1/1/0001 3:00:00 AM, 4/23/2026 8:32:01 AM)
